,index,Primary Activity,KL,Pct
0,1,Climber,45,37.5
1,0,Backcountry Tourer,23,19.166666666666668
2,5,Inbounds Rider,10,8.333333333333334
3,3,Hiker,9,7.5
4,12,Sidecountry Rider,8,6.666666666666667
5,2,Highway Personnel,4,3.3333333333333335
6,11,Resident,4,3.3333333333333335
7,14,Snowmobiler,4,3.3333333333333335
8,9,Motorist,3,2.5
9,4,Hunter,2,1.6666666666666667
10,10,Others at Work,2,1.6666666666666667
11,15,Snowplayer,2,1.6666666666666667
12,6,Mechanized Guide,1,0.8333333333333334
13,7,Mechanized Guiding Client,1,0.8333333333333334
14,8,Miner,1,0.8333333333333334
15,13,Ski Patroller,1,0.8333333333333334
